CHEM_ID;CHEMICAL_NAME;SUPER_PATHWAY;SUB_PATHWAY;HMDB;KEGG;Mean_WT;Mean_Disease;Mean_Rescue;Log2FC_Patho;p_value_Patho;Log2FC_Rescue;p_value_Rescue;Padj_Patho;Padj_Rescue;Significatif_Patho;Significatif_Rescue_Brut;Significatif_Rescue
100001668;1-ribosyl-imidazoleacetate*;Amino Acid;Histidine Metabolism;HMDB0002331;C05131;0.14692498842345364;0.04866643192897052;-0.2655592351633347;-0.09825855649448312;0.8069288188969246;-0.3142256670923052;0.2673702127598966;0.8774214584056633;0.35453793102644593;False;False;False
100001694;adenosine 2'-monophosphate (2'-AMP);Nucleotide;Purine Metabolism, Adenine containing;HMDB0011617;C00946;-0.582249901509701;-0.13132704693666336;-0.582249901509701;0.45092285457303766;0.008844615728714969;-0.45092285457303766;0.008844615728714969;0.024858953177717153;0.02302321509690112;True;True;True
100001730;3,4-dihydroxybutyrate;Lipid;Fatty Acid, Dihydroxy;HMDB0000337;;0.0424745453924787;-0.030585565217931356;-0.006940236733177407;-0.07306011061041005;0.6687322443083673;0.02364532848475395;0.8519589397198502;0.7723170138659896;0.8881288337044433;False;False;False
100001734;N6-acetyllysine;Amino Acid;Lysine Metabolism;HMDB0000206;C02727;-0.33706261406086807;0.28226878043348846;-0.20671260664074226;0.6193313944943566;0.0001363697497069565;-0.4889813870742307;0.0013950712962484157;0.0009084158130085448;0.005438849385374008;True;True;True
100001739;dihomo-linolenate (20:3n3 or n6);Lipid;Long Chain Polyunsaturated Fatty Acid (n3 and n6);HMDB0002925;C03242;-0.07977164382916169;0.1384135772854057;-0.26250280611134025;0.2181852211145674;0.3866134900462044;-0.40091638339674596;0.03129401981857587;0.5199920708729553;0.06262853985285394;False;False;False
100001740;mannitol/sorbitol;Carbohydrate;Fructose, Mannose and Galactose Metabolism;HMDB0000247,HMDB0000765;C00392,C00794;0.22857115321459462;0.14715261316815237;-0.04628437864827821;-0.08141854004644225;0.6416289115778337;-0.1934369918164306;0.23971760786455434;0.7476832771278888;0.32500175681636695;False;False;False
100001755;4-vinylphenol sulfate;Xenobiotics;Benzoate Metabolism;HMDB0062775;C05627;-0.39058911276710445;-0.3333299808991929;-0.6532452590708395;0.05725913186791154;0.7985417218897651;-0.3199152781716466;0.10899235787955158;0.8728246727632316;0.17563339955447743;False;False;False
100001765;3-methyladipate;Lipid;Fatty Acid, Dicarboxylate;HMDB0000555;;-0.10852495564932596;-0.16054254146006836;-0.4299857346355574;-0.052017585810742395;0.9291729518971066;-0.26944319317548904;0.5547860809352776;0.9504054171889149;0.6299229387171829;False;False;False
100001767;pyrraline;Xenobiotics;Food Component/Plant;HMDB0033143;C21013;-0.2218199359967194;-0.25295985840210405;-0.08815635998755159;-0.031139922405384657;0.8588506232028501;0.16480349841455247;0.33041098753445863;0.91394670091775;0.4184546339134012;False;False;False
100001768;N6-carboxymethyllysine;Carbohydrate;Advanced Glycation End-product;HMDB0240347;;0.0021500718250577894;0.3290805881905206;-0.20320650611084065;0.32693051636546283;0.004658382665994081;-0.5322870943013612;7.587417126785652e-05;0.014984759450307956;0.0006355400880456101;True;True;True
100001777;1-oleoyl-GPI (18:1);Lipid;Lysophospholipid;HMDB0061693;;-0.03713377536536708;0.21030823069610832;-0.19031103566377083;0.2474420060614754;0.3114562961195615;-0.40061926635987916;0.10843292504031697;0.43769439620788875;0.17540010436731962;False;False;False
100001778;1-linoleoyl-GPI (18:2)*;Lipid;Lysophospholipid;HMDB0240597;;-0.20676493040518687;0.46193176951781034;-0.256450068429465;0.6686966999229972;0.021834837112834182;-0.7183818379472753;0.004634648784345411;0.051888405049038536;0.014053451152531248;False;True;False
100001784;1-palmitoleoyl-GPE (16:1)*;Lipid;Lysophospholipid;HMDB0011474;;0.012971994647162116;0.12056100119144052;-0.17219271909169584;0.1075890065442784;0.6750272878797569;-0.29275372028313634;0.27138607793018654;0.7748617171591239;0.35873847176396534;False;False;False
100001805;methylphosphate;Nucleotide;Purine and Pyrimidine Metabolism;HMDB61711;;-0.08026117983168747;0.24865755018076907;-0.09551725106373199;0.32891873001245653;0.001997148287099511;-0.34417480124450106;0.0005426642293614303;0.007645192085457857;0.002536430596904807;True;True;True
100001810;dimethylarginine (SDMA + ADMA);Amino Acid;"Urea cycle; Arginine and Proline Metabolism";HMDB0003334,HMDB0001539;C21189,C03626;-0.20254559972746275;0.2942626713490216;-0.12701492903925132;0.4968082710764844;0.005485426692757833;-0.42127760038827294;0.017603793144996584;0.01691944571883375;0.04025083513693813;True;True;True
100001823;N-methylalanine;Amino Acid;Alanine and Aspartate Metabolism;HMDB0094692;C02721;-0.07518792891827794;-0.14961257673087483;0.14090270546247816;-0.07442464781259689;0.5765400364057764;0.290515282193353;0.012070000571003978;0.6928307823853507;0.02959774053063584;False;True;False
