Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000048040;0.1946723505769377;0.4733791561613596;0.6204139330994684;0.7683418080319102;0.0316115545335955;0.5714210331206921;WT;1.289714386637212;0.2694369630899716;OUI;NON
ENSMUSG00000048537;39.18446863173206;57.129801110385074;80.68362960451202;73.32962660229977;0.0014766332968057;0.4090326219026602;WT;1.0401039213064371;-0.1377007039855709;OUI;NON
ENSMUSG00000048772;1.5011751557348685;1.644019480479698;3.459306689424225;3.3725985893327564;0.0283934830869018;0.8897536601387639;WT;1.1524651129697894;-0.0355805948978351;OUI;NON
ENSMUSG00000048779;1.248306608872768;2.539396772968645;2.694879119770748;2.717315875801683;0.0235301424888335;0.9726297957485524;WT;1.0516372800694254;0.0115354399262871;OUI;NON
ENSMUSG00000048807;22.47150832628952;29.223536355127223;46.526432657178574;35.82797838365675;0.0062682437850032;0.081988721297579;WT;1.0466452258075094;-0.3760402954897628;OUI;NON
ENSMUSG00000048967;0.9357137557620192;1.2152692110742118;2.238130627633353;2.40052230841012;0.0191571149912945;0.7056266628280102;WT;1.1747301983204024;0.0968739429121113;OUI;NON
ENSMUSG00000049686;19.09952099845132;18.04050604387475;39.49230881984421;28.58324709567157;0.0002939651538563;0.0153269124165906;WT;1.0441498822313304;-0.465011846362968;OUI;NON
ENSMUSG00000050212;1.733334239514026;2.7343493252327624;3.93486214494627;5.253410099125853;0.0177940573156544;0.2619727787690339;WT;1.138049552231054;0.407938791605611;OUI;NON
ENSMUSG00000050697;16.058396218333563;19.818406326364364;39.41294127272853;26.444281589320077;0.0065408849279403;0.0341530687522041;WT;1.2900412296727608;-0.5739241459445633;OUI;NON
ENSMUSG00000050957;0.0661495759418699;0.1847825127876187;0.2370325780609115;0.2234312675540063;0.046465472761474;0.908919001946354;WT;1.0204054402645106;-0.0594288937895783;OUI;NON
ENSMUSG00000051246;0.222392861423853;0.6634673268732133;0.6171452436059609;0.6894829138170956;0.0242327782373347;0.6655465256682861;WT;1.1534455385286075;0.1386427053553107;OUI;NON
ENSMUSG00000051456;16.273343095261076;14.599629246713146;38.28052842715343;25.482444290203016;0.031147924511889;0.1202929034757616;WT;1.22902565471278;-0.5852204608666609;OUI;NON
ENSMUSG00000051518;3.9428768423820975;4.137302735336189;8.100538602913163;6.625877746503463;0.0019836114884828;0.070988195480889;WT;1.0203364119116682;-0.285996111732031;OUI;NON
ENSMUSG00000051550;8.313024393882607;12.043392595465576;18.6554674259152;19.425044980896686;0.0011409928397648;0.7481015587631573;WT;1.1566147859117035;0.0580146535261947;OUI;NON
ENSMUSG00000051579;9.693317626151764;20.214533789091192;21.638472344202302;22.45139933812572;0.0108018295178216;0.7865696006115863;WT;1.1503809782683454;0.0529663974559677;OUI;NON
ENSMUSG00000052584;0.1391032878817024;0.3194170166321863;0.4225309552279294;0.3169676225765429;0.006267002643387;0.3790569861191938;WT;1.1278825378248585;-0.3255811432055528;OUI;NON
ENSMUSG00000053175;0.8062203282762322;3.702377251334974;1.7852097835158416;4.229880280010604;0.0408936757084121;0.0995704091248146;WT;1.0567913147498826;1.1996020618661818;OUI;NON
ENSMUSG00000053441;0.0473082993045085;0.0777195804231716;0.2133915804544095;0.1197332219622562;0.0161313325278292;0.3123507887192784;WT;1.089127707375606;-0.5122134104614693;OUI;NON
ENSMUSG00000053617;58.44859486261971;254.22621429941773;129.24807747609728;232.91712529293005;0.0082640718969077;0.1422051270864708;WT;1.1435521588586628;0.8491773766419874;OUI;NON
ENSMUSG00000054428;11.412342955836516;16.651670845686393;24.331442951530587;21.01467729102057;0.0205525503247797;0.3904640199523275;WT;1.0855575973824656;-0.2104928758061187;OUI;NON
