Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000086219;1.0466684671323747;0.8199733630748984;21.969428448298284;3.3241327819470206;2.8974270306754094e-14;4.1999313749110004e-08;WT treated;4.4697928719068045;-2.586056162415852;OUI;OUI
ENSMUSG00000086322;0.08385493395245425;0.14734806157826502;1.249808897357965;0.06486085427209116;0.0008373938432112469;2.5699985075272854e-08;WT treated;2.8325406233345216;-4.132584431303727;OUI;OUI
ENSMUSG00000086564;0.03907864371828652;0.033169516829267505;0.8083184782434177;0.16077092463389836;0.0023851579595026234;0.0059532867661561024;WT treated;4.3798634533176335;-2.19393828205202;OUI;OUI
ENSMUSG00000086592;0.01527623731119281;0.0;0.5538610159342058;0.04851588526036878;0.04878944316198629;0.00030487618064325354;WT treated;6.279177279693965;-3.3794549987003712;OUI;OUI
ENSMUSG00000086688;0.3896141254499439;0.6394557846673659;0.32543626384820656;0.38834951892387864;0.03485473563349893;0.5832748351310416;WT treated;-1.2505270069092564;0.38415230003228124;OUI;NON
ENSMUSG00000086863;3.9410993052980983;3.788924789659239;1.6875707609048607;3.7739918038363647;0.030394815528357228;0.010919099953906086;WT treated;-1.4310783499053958;1.289608265979794;OUI;OUI
ENSMUSG00000086866;1.8834104013087365;2.1307878040517743;10.388853084987389;1.7948073836589478;4.2920695302932764e-07;4.02782785239954e-12;WT treated;2.017689081909463;-2.3969453720877905;OUI;OUI
ENSMUSG00000087006;1.9591626238813522;2.679660740032216;19.258719450473805;3.6939628486936744;1.6739648237714993e-10;3.991815493057148e-11;WT treated;2.5671717948023285;-2.2502654265331645;OUI;OUI
ENSMUSG00000087038;0.4644942577547742;0.321163965448762;1.5968368207570964;0.7130456474889774;0.002598155842273234;0.056609805429744045;WT treated;2.036467167309836;-1.0224544646022653;OUI;NON
ENSMUSG00000087080;1.305764999364284;1.8217309497444534;0.23556362212467916;1.490765141995814;9.659490671854786e-10;2.3897094980131773e-08;WT treated;-3.226304768850898;2.7801963648676145;OUI;OUI
ENSMUSG00000087261;0.7498362587520033;0.8649407279352028;0.36837498033622845;0.510343951426499;0.006504459503395877;0.3147416805244875;WT treated;-1.507773443985252;0.6024855860555324;OUI;NON
ENSMUSG00000087344;0.2748740312707516;0.49689463347269774;0.21090648280471214;0.2332060545756454;0.020133491401548784;0.7811791132213703;WT treated;-1.5132416575494545;0.289773356346243;OUI;NON
ENSMUSG00000087366;4.238068476626155;5.116603659415647;2.61925772264989;2.442308494707759;8.909318843174779e-07;0.9433894207261819;WT treated;-1.244323957653726;0.03770669498739747;OUI;NON
ENSMUSG00000087404;0.8576277231115254;0.9449923737782135;0.5143273118392053;0.6076086281706309;0.017840234489594424;0.5859975958391318;WT treated;-1.14981639755726;0.36055759799079923;OUI;NON
ENSMUSG00000087410;128.66587643294108;146.83482349969267;59.63843700023647;106.42898454853;5.1908782042029513e-14;3.514561608234249e-06;WT treated;-1.5747875050704092;0.9610153974190196;OUI;OUI
ENSMUSG00000087523;40.40118653872956;39.0555997578765;22.13874718718817;35.92943482046637;2.7284349838265258e-05;4.177874323452992e-07;WT treated;-1.0959549171318788;0.8295643585699705;OUI;OUI
ENSMUSG00000087579;11.705879125500115;9.739523687444663;39.569218791816105;16.75477819593762;4.4077692906973545e-20;5.922487622432741e-16;WT treated;1.746328885106156;-1.104447715755915;OUI;OUI
ENSMUSG00000089718;3.722747953215171;2.8276569205767963;8.390252892870173;7.8823097854467;1.533765789987929e-08;0.8848703615426218;WT treated;1.3029006543836108;0.04283444168100257;OUI;NON
ENSMUSG00000089774;3.626515444175522;3.694173556809527;9.262000062485836;2.72180868691566;0.014227635647861924;1.9076911614796798e-05;WT treated;1.0417917878728056;-1.6204683132831779;OUI;OUI
ENSMUSG00000089809;0.8566183814260914;0.5552653474070733;1.7358122481056644;1.5181343383888088;0.015566068480910713;0.9318573259875971;WT treated;1.389852482192276;-0.0651709085913514;OUI;NON
