Accnumber,UniProt ID,Genename,Proteinname,180808_AM_Ech26_rep1,180808_AM_Ech26_rep2,180808_AM_Ech26_rep3,180808_AM_Ech27_rep1,180808_AM_Ech27_rep2,180808_AM_Ech27_rep3,180808_AM_Ech28_rep1,180808_AM_Ech28_rep2,180808_AM_Ech28_rep3,180808_AM_Ech29_rep1,180808_AM_Ech29_rep2,180808_AM_Ech29_rep3,180808_AM_Ech30_rep1,180808_AM_Ech30_rep2,180808_AM_Ech30_rep3,180808_AM_Ech31_rep1,180808_AM_Ech31_rep2,180808_AM_Ech31_rep3,180808_AM_Ech32_rep1,180808_AM_Ech32_rep2,180808_AM_Ech32_rep3,180808_AM_Ech33_rep1,180808_AM_Ech33_rep2,180808_AM_Ech33_rep3,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR
P63005,sp|P63005|LIS1_MOUSE Platelet-activating factor acetylhydrolase IB subunit alpha OS=Mus musculus OX=10090 GN=Pafah1b1 PE=1 SV=2,Pafah1b1,Platelet-activating factor acetylhydrolase IB subunit alpha,26.4247433728151,26.4299187161379,26.4796145068718,26.2696571662146,26.3192692802764,26.214969781232,26.3845097139581,26.2805321284626,26.5032523899327,26.2763092345138,26.2657914805101,26.2476639451112,26.0545529956247,25.8861509640472,25.9391891187749,26.0711753819637,26.2026146388553,26.0616047514852,26.327557057537,26.1410099682931,26.3042891704076,26.0284114640124,25.991789679974,26.0588612734641,-0.252418770966422,-0.357243830511812,-0.147593711421031,26.2151432575198,-4.96655760446766,0.775942138166705,4.37563031570249e-05,9.3175186722606e-05,-1,-1
P63011,sp|P63011|RAB3A_MOUSE Ras-related protein Rab-3A OS=Mus musculus OX=10090 GN=Rab3a PE=1 SV=1,Rab3a,Ras-related protein Rab-3A,,,,,23.4598922951529,,,,,23.5903556139882,,,,,,,,,,,,22.9838359178736,,23.1476523886961,-0.459379801285657,-0.858084482549101,-0.0606751200222126,23.2954340539277,-3.1112333766301,-4.09051740522081,0.0324247335180988,0.045232190880739,-1,-1
P97370,sp|P97370|AT1B3_MOUSE Sodium/potassium-transporting ATPase subunit beta-3 OS=Mus musculus OX=10090 GN=Atp1b3 PE=1 SV=1,Atp1b3,Sodium/potassium-transporting ATPase subunit beta-3,,22.5124130098445,,,,,,23.1468758843852,,,,,23.8597809451389,23.4604250343277,23.2388510361971,,23.6687748682677,23.6369366251336,,23.0363703034085,,23.6058820734944,,23.1955035137267,0.633171102847001,0.134115897203463,1.13222630849054,23.3361813293924,2.81886468667984,-4.20501356101336,0.0178451329288273,0.0263133935651141,1,1
P97443,sp|P97443|SMYD1_MOUSE Histone-lysine N-methyltransferase Smyd1 OS=Mus musculus OX=10090 GN=Smyd1 PE=1 SV=3,Smyd1,Histone-lysine N-methyltransferase Smyd1,29.9882508205283,29.8608658626978,29.8975209529712,29.8813294627932,29.9022086686093,29.8970643534361,29.8643334514694,29.8452610073946,29.9269427214144,29.9403926511599,30.0194520351191,30.0493467707735,29.5909918645792,29.6450885158297,29.6510413935321,29.4968871674501,29.7002140155284,29.5984063566181,29.5766301449308,29.6098452088412,29.613155555082,29.4177082592457,29.3592326737532,29.3190667221818,-0.374558406732877,-0.465375560424974,-0.28374125304078,29.7354681931641,-8.50649418417593,9.35657415646904,9.45387687433225e-09,3.22858814010215e-08,-1,-1
P97457,"sp|P97457|MLRS_MOUSE Myosin regulatory light chain 2, skeletal muscle isoform OS=Mus musculus OX=10090 GN=Mylpf PE=1 SV=3",Mylpf,"Myosin regulatory light chain 2, skeletal muscle isoform",34.9103263214134,34.8809520665289,34.9378158227589,34.7748682118746,34.7548843956632,34.7672342405991,35.0589506057839,35.1180224203461,35.1373402150896,35.0174074842514,35.0341276940857,35.0646072297919,34.5685621902475,34.5933044705095,34.562878753016,34.6980250675369,34.7971395349734,34.7891981883509,34.7694247682996,34.7591378541405,34.7473579996012,34.4712479029221,34.475584549547,34.376921504536,-0.320646160375524,-0.442686183506386,-0.198606137244663,34.7943883121611,-5.41904440102221,1.93301602390661,1.38584549485876e-05,3.17516499454983e-05,-1,-1
P97823,sp|P97823|LYPA1_MOUSE Acyl-protein thioesterase 1 OS=Mus musculus OX=10090 GN=Lypla1 PE=1 SV=1,Lypla1,Acyl-protein thioesterase 1,27.0338612982849,26.9352312149502,26.8571150148306,26.8785563236717,26.8412707353549,26.8322683386243,26.8064286717449,26.8323097024289,26.8398609574388,26.781580017231,26.6687846060991,26.7566580074237,26.6314713568633,26.497246378141,26.6591673589205,26.5709620475957,26.3203359147295,26.3315015495291,26.6189286882919,26.5489513174012,26.2915108596708,26.4871208765202,26.473071265065,26.6509189798654,-0.331894857957437,-0.433331009920712,-0.230458705994162,26.6727129783615,-6.74849150050641,5.25825425190398,5.21917846233993e-07,1.42323359952321e-06,-1,-1
Q02819,sp|Q02819|NUCB1_MOUSE Nucleobindin-1 OS=Mus musculus OX=10090 GN=Nucb1 PE=1 SV=2,Nucb1,Nucleobindin-1,25.0133052832256,,,,,25.4662470168686,,,25.481175746513,,,,24.6762151780877,24.4051371595952,24.7922998619231,24.7525469962842,24.6734842879401,24.9931109707056,25.0216005964809,24.2977816763118,24.4728771117965,25.2217563212906,25.0829855978297,24.9455506292382,-0.542297149912109,-0.914958571829084,-0.169635727995134,24.8864049622727,-3.0978647084214,-3.66561073186763,0.00724873400122659,0.0113472073878661,-1,-1
Q03958,sp|Q03958|PFD6_MOUSE Prefoldin subunit 6 OS=Mus musculus OX=10090 GN=Pfdn6 PE=1 SV=1,Pfdn6,Prefoldin subunit 6,24.7402174015678,24.9010695152641,24.706423652712,,,,24.8906289362814,24.9688954520196,24.694742233562,,25.3685696341239,25.2965595611169,24.548859044125,24.5296263806062,,24.4542232145459,24.5251100574586,24.5935684786686,,,,24.6622044153624,,24.6803459648784,-0.375325790381662,-0.590026167545232,-0.160625413218093,24.7707362628195,-3.7214754838745,-2.60265534331715,0.00200286523736441,0.00343101175563758,-1,-1
Q05AA6,sp|Q05AA6|DRP2_MOUSE Dystrophin-related protein 2 OS=Mus musculus OX=10090 GN=Drp2 PE=1 SV=1,Drp2,Dystrophin-related protein 2,,,26.5181238772471,25.7224171220192,,25.8709105444196,,26.1977588210426,,,,,25.4263110713395,,,,,25.314377321674,25.647608172618,,25.5925185276806,25.0227436137475,25.1140502527613,,-0.724367764545331,-1.11649343734966,-0.332242091741,25.6426819324549,-4.10426667734774,-2.17733762562588,0.00203704766093401,0.0034824616446664,-1,-1
Q06138,sp|Q06138|CAB39_MOUSE Calcium-binding protein 39 OS=Mus musculus OX=10090 GN=Cab39 PE=1 SV=2,Cab39,Calcium-binding protein 39,25.3313485606648,24.7523242563041,24.6374591318197,25.2656390792343,24.6951254023999,24.6295878924146,25.2470717187362,24.6345083453311,25.2434477275573,25.1912925089952,24.6986672654103,24.5868871032034,25.1151135290924,24.5893065385073,24.6357057182161,24.7734058393999,24.6448327208417,24.6283338968293,24.3241425485413,24.3179726064269,23.9438512041687,24.9456097927737,24.4590741139857,24.7052345558331,-0.319231327287881,-0.57081733294537,-0.0676453216303911,24.7498309190286,-2.61759752713997,-4.93782656551239,0.0150301534486759,0.0225063724857112,-1,-1
